2026-02-26 20:22:14,183 INFO    MainThread:2876938 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-02-26 20:22:14,184 INFO    MainThread:2876938 [wandb_setup.py:_flush():81] Configure stats pid to 2876938
2026-02-26 20:22:14,184 INFO    MainThread:2876938 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-02-26 20:22:14,184 INFO    MainThread:2876938 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/vsc/LLM_TUNE/QA-FineTune/main/infer/wandb/offline-run-20260226_202214-ub9hqlt3/logs/debug.log
2026-02-26 20:22:14,184 INFO    MainThread:2876938 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/vsc/LLM_TUNE/QA-FineTune/main/infer/wandb/offline-run-20260226_202214-ub9hqlt3/logs/debug-internal.log
2026-02-26 20:22:14,184 INFO    MainThread:2876938 [wandb_init.py:init():844] calling init triggers
2026-02-26 20:22:14,184 INFO    MainThread:2876938 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-02-26 20:22:14,184 INFO    MainThread:2876938 [wandb_init.py:init():892] starting backend
2026-02-26 20:22:14,386 INFO    MainThread:2876938 [wandb_init.py:init():895] sending inform_init request
2026-02-26 20:22:14,389 INFO    MainThread:2876938 [wandb_init.py:init():903] backend started and connected
2026-02-26 20:22:14,390 INFO    MainThread:2876938 [wandb_init.py:init():973] updated telemetry
2026-02-26 20:22:14,392 INFO    MainThread:2876938 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-02-26 20:22:14,502 INFO    MainThread:2876938 [wandb_init.py:init():1042] starting run threads in backend
2026-02-26 20:22:14,562 INFO    MainThread:2876938 [wandb_run.py:_console_start():2524] atexit reg
2026-02-26 20:22:14,562 INFO    MainThread:2876938 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-02-26 20:22:14,562 INFO    MainThread:2876938 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-02-26 20:22:14,562 INFO    MainThread:2876938 [wandb_run.py:_redirect():2465] Redirects installed.
2026-02-26 20:22:14,563 INFO    MainThread:2876938 [wandb_init.py:init():1082] run started, returning control to user process
2026-02-26 20:22:21,269 INFO    wandb-AsyncioManager-main:2876938 [service_client.py:_forward_responses():134] Reached EOF.
2026-02-26 20:22:21,269 INFO    wandb-AsyncioManager-main:2876938 [mailbox.py:close():155] Closing mailbox, abandoning 0 handles.
