2026-03-12 16:51:27 - INFO - [server.py:134] - 🚀 서버 시작 | vLLM: ✅ | RAG: ❌
2026-03-12 16:52:28 - INFO - [server.py:237] - ✅ [sft] 28.01s | 가족 회원?...
2026-03-12 16:52:47 - INFO - [server.py:237] - ✅ [sft+RAG] 6.66s | 가족 회원?...
2026-03-12 16:53:04 - INFO - [server.py:237] - ✅ [sft] 4.98s | 가족 회원?...
2026-03-12 16:53:16 - INFO - [server.py:237] - ✅ [sft] 5.00s | 가족 회원?...
2026-03-12 16:53:31 - INFO - [server.py:237] - ✅ [sft+RAG] 6.31s | 가족 회원?...
2026-03-12 16:55:08 - INFO - [server.py:237] - ✅ [baseline+RAG] 9.79s | 가족 회원?...
2026-03-12 16:58:25 - INFO - [server.py:237] - ✅ [baseline+RAG] 11.20s | 가족 회원이 뭔가요? 어떻게 신청하나요?...
2026-03-12 16:59:05 - INFO - [server.py:237] - ✅ [sft] 6.48s | 가족 회원이 뭔가요? 어떻게 신청하나요?...
2026-03-12 16:59:42 - INFO - [server.py:237] - ✅ [sft+RAG] 8.00s | 가족 회원이 뭔가요? 어떻게 신청하나요?...
2026-03-12 17:00:57 - INFO - [server.py:237] - ✅ [baseline+RAG] 11.96s | 별꿈 도서관?...
2026-03-12 17:01:29 - INFO - [server.py:237] - ✅ [sft] 5.95s | 별꿈 도서관?...
2026-03-12 17:02:15 - INFO - [server.py:237] - ✅ [sft+RAG] 5.12s | 별꿈 도서관?...
2026-03-12 17:02:37 - INFO - [server.py:237] - ✅ [sft+RAG] 4.96s | 별꿈 도서관?...
2026-03-12 17:03:07 - INFO - [server.py:237] - ✅ [sft] 5.97s | 별꿈 도서관?...
2026-03-12 17:04:23 - INFO - [server.py:237] - ✅ [baseline+RAG] 10.48s | 별꿈 도서관은 어디에 있고, 전화번호는 어떻게 되나요?...
2026-03-12 17:05:12 - INFO - [server.py:237] - ✅ [sft] 6.25s | 별꿈 도서관은 어디에 있고, 전화번호는 어떻게 되나요?...
2026-03-12 17:05:26 - INFO - [server.py:237] - ✅ [sft] 6.10s | 별꿈 도서관은 어디에 있고, 전화번호는 어떻게 되나요?...
2026-03-12 17:06:04 - INFO - [server.py:237] - ✅ [sft+RAG] 8.32s | 별꿈 도서관은 어디에 있고, 전화번호는 어떻게 되나요?...
2026-03-12 17:06:23 - INFO - [server.py:237] - ✅ [sft+RAG] 8.16s | 별꿈 도서관은 어디에 있고, 전화번호는 어떻게 되나요?...
2026-03-12 17:08:28 - INFO - [server.py:237] - ✅ [baseline+RAG] 7.36s | 와이파이 이용...
2026-03-12 17:08:45 - INFO - [server.py:237] - ✅ [baseline+RAG] 7.32s | 와이파이 이용...
2026-03-12 17:09:14 - INFO - [server.py:237] - ✅ [sft] 6.19s | 와이파이 이용...
2026-03-12 17:09:41 - INFO - [server.py:237] - ✅ [sft+RAG] 4.68s | 와이파이 이용...
2026-03-12 17:13:09 - INFO - [server.py:237] - ✅ [baseline+RAG] 6.76s | 와이파이를 이용하려면 어떻게 해야하나요?...
2026-03-12 17:13:47 - INFO - [server.py:237] - ✅ [sft] 5.21s | 와이파이를 이용하려면 어떻게 해야하나요?...
2026-03-12 17:13:55 - INFO - [server.py:237] - ✅ [sft] 5.27s | 와이파이를 이용하려면 어떻게 해야하나요?...
2026-03-12 17:14:21 - INFO - [server.py:237] - ✅ [sft+RAG] 4.14s | 와이파이를 이용하려면 어떻게 해야하나요?...
2026-03-12 17:14:47 - INFO - [server.py:138] - 🛑 서버 종료
