timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, power.draw [W]
2026/02/07 11:25:13.151, NVIDIA GB10, 94 %, 0 %, [N/A], 64, 40.58 W
2026/02/07 11:25:14.162, NVIDIA GB10, 94 %, 0 %, [N/A], 64, 40.44 W
2026/02/07 11:25:15.162, NVIDIA GB10, 94 %, 0 %, [N/A], 64, 40.65 W
2026/02/07 11:25:16.163, NVIDIA GB10, 94 %, 0 %, [N/A], 64, 40.62 W
2026/02/07 11:25:17.164, NVIDIA GB10, 94 %, 0 %, [N/A], 64, 40.68 W
2026/02/07 11:25:18.164, NVIDIA GB10, 94 %, 0 %, [N/A], 64, 40.69 W
2026/02/07 11:25:19.165, NVIDIA GB10, 94 %, 0 %, [N/A], 64, 40.59 W
2026/02/07 11:25:20.165, NVIDIA GB10, 94 %, 0 %, [N/A], 64, 40.65 W
2026/02/07 11:25:21.166, NVIDIA GB10, 94 %, 0 %, [N/A], 64, 40.63 W
2026/02/07 11:25:22.167, NVIDIA GB10, 94 %, 0 %, [N/A], 64, 40.72 W
2026/02/07 11:25:23.168, NVIDIA GB10, 94 %, 0 %, [N/A], 64, 40.74 W
2026/02/07 11:25:24.168, NVIDIA GB10, 94 %, 0 %, [N/A], 64, 40.71 W
2026/02/07 11:25:25.169, NVIDIA GB10, 94 %, 0 %, [N/A], 64, 40.72 W
2026/02/07 11:25:26.170, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 40.80 W
2026/02/07 11:25:27.170, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 40.84 W
2026/02/07 11:25:28.171, NVIDIA GB10, 94 %, 0 %, [N/A], 64, 40.88 W
2026/02/07 11:25:29.172, NVIDIA GB10, 94 %, 0 %, [N/A], 64, 40.79 W
2026/02/07 11:25:30.172, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 40.86 W
2026/02/07 11:25:31.173, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 40.85 W
2026/02/07 11:25:32.174, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 40.88 W
2026/02/07 11:25:33.175, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 40.85 W
2026/02/07 11:25:34.176, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 40.87 W
2026/02/07 11:25:35.177, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 40.94 W
2026/02/07 11:25:36.177, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 40.94 W
2026/02/07 11:25:37.178, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.00 W
2026/02/07 11:25:38.179, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 40.98 W
2026/02/07 11:25:39.180, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 40.98 W
2026/02/07 11:25:40.181, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.00 W
2026/02/07 11:25:41.183, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.05 W
2026/02/07 11:25:42.184, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.03 W
2026/02/07 11:25:43.185, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.10 W
2026/02/07 11:25:44.185, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.02 W
2026/02/07 11:25:45.186, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.19 W
2026/02/07 11:25:46.187, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.14 W
2026/02/07 11:25:47.188, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.22 W
2026/02/07 11:25:48.189, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.15 W
2026/02/07 11:25:49.189, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.18 W
2026/02/07 11:25:50.191, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.19 W
2026/02/07 11:25:51.192, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.20 W
2026/02/07 11:25:52.192, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.14 W
2026/02/07 11:25:53.193, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.28 W
2026/02/07 11:25:54.193, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.15 W
2026/02/07 11:25:55.195, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.30 W
2026/02/07 11:25:56.196, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.25 W
2026/02/07 11:25:57.197, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.31 W
2026/02/07 11:25:58.198, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.28 W
2026/02/07 11:25:59.199, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.24 W
2026/02/07 11:26:00.200, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.32 W
2026/02/07 11:26:01.201, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.28 W
2026/02/07 11:26:02.202, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.29 W
2026/02/07 11:26:03.203, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.36 W
2026/02/07 11:26:04.204, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.35 W
2026/02/07 11:26:05.205, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.38 W
2026/02/07 11:26:06.206, NVIDIA GB10, 94 %, 0 %, [N/A], 65, 41.40 W
2026/02/07 11:26:07.206, NVIDIA GB10, 94 %, 0 %, [N/A], 66, 41.44 W
2026/02/07 11:26:08.208, NVIDIA GB10, 94 %, 0 %, [N/A], 66, 41.44 W
2026/02/07 11:26:09.208, NVIDIA GB10, 94 %, 0 %, [N/A], 66, 41.39 W
2026/02/07 11:26:10.210, NVIDIA GB10, 94 %, 0 %, [N/A], 66, 41.49 W
2026/02/07 11:26:11.211, NVIDIA GB10, 94 %, 0 %, [N/A], 66, 41.47 W
2026/02/07 11:26:12.213, NVIDIA GB10, 94 %, 0 %, [N/A], 66, 41.46 W
2026/02/07 11:26:13.214, NVIDIA GB10, 94 %, 0 %, [N/A], 66, 41.49 W
