timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, power.draw [W]
2026/02/07 12:28:22.313, NVIDIA GB10, 90 %, 0 %, [N/A], 76, 58.52 W
2026/02/07 12:28:23.322, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.47 W
2026/02/07 12:28:24.322, NVIDIA GB10, 90 %, 0 %, [N/A], 75, 58.65 W
2026/02/07 12:28:25.323, NVIDIA GB10, 90 %, 0 %, [N/A], 76, 58.67 W
2026/02/07 12:28:26.323, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.61 W
2026/02/07 12:28:27.323, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.56 W
2026/02/07 12:28:28.324, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 59.22 W
2026/02/07 12:28:29.324, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.94 W
2026/02/07 12:28:30.324, NVIDIA GB10, 90 %, 0 %, [N/A], 76, 58.69 W
2026/02/07 12:28:31.325, NVIDIA GB10, 90 %, 0 %, [N/A], 76, 58.90 W
2026/02/07 12:28:32.325, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.81 W
2026/02/07 12:28:33.325, NVIDIA GB10, 90 %, 0 %, [N/A], 75, 58.67 W
2026/02/07 12:28:34.326, NVIDIA GB10, 89 %, 0 %, [N/A], 75, 58.51 W
2026/02/07 12:28:35.326, NVIDIA GB10, 90 %, 0 %, [N/A], 76, 58.92 W
2026/02/07 12:28:36.327, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.62 W
2026/02/07 12:28:37.327, NVIDIA GB10, 90 %, 0 %, [N/A], 76, 58.54 W
2026/02/07 12:28:38.328, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.95 W
2026/02/07 12:28:39.328, NVIDIA GB10, 90 %, 0 %, [N/A], 76, 58.72 W
2026/02/07 12:28:40.328, NVIDIA GB10, 90 %, 0 %, [N/A], 76, 58.45 W
